boundary_id,name,state,month,family,total,status_single_source,status_corroborated,status_contradicted,status_unassessed,severity_low,severity_medium,severity_high,severity_unknown
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-04,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-05,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-06,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-07,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-08,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,MAC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,OIL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,POL,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,SAN,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-09,SEC,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,CON,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,ELM,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,EXT,0,0,0,0,0,0,0,0,0
osm:relation:10928384,Municipio Miranda,Anzoátegui,2025-10,MAC,0,0,0,0,0,0,0,0,0
